t,xi,ReH,Uncertainty
-0.17,0.22,0.5430611056979465,0.016844612016064475
-0.17,0.22,0.5632021087499117,0.016550779043117362
-0.17,0.22,0.5342978767994622,0.0170902745199829
-0.23,0.22,0.2936894430911837,0.01369656319624793
-0.23,0.22,0.3205978448416288,0.014671056070997411
-0.23,0.22,0.3553742236348677,0.014399828073427729
-0.28,0.22,0.14748195026094624,0.014702662042066876
-0.28,0.22,0.15965180387785738,0.014830397656865
-0.28,0.22,0.1672741527746645,0.015081557044402612
-0.33,0.22,-0.05504573093345373,0.013026815521361184
-0.33,0.22,-0.03358785685806103,0.014119947215143062
-0.33,0.22,-0.07673021980113519,0.013087393441846232
