xi	t	Q2	ReH  	Unc(ReH)                        Hall A (PHYSICAL REVIEW D 79, 094021 (2009))
0.22	-0.17	1.5	-1.35	3.65050681412869
0.22	-0.17	1.9	-0.39	1.38354616836591
0.22	-0.17	2.3	0.36	0.597578446733147
0.22	-0.23	1.5	-2.77	2.92261868877895
0.22	-0.23	1.9	-2.04	1.09077953776187
0.22	-0.23	2.3	-1.46	0.373363094051889
0.22	-0.28	1.5	-3.45	2.51527334498658
0.22	-0.28	1.9	-2.9	0.971750996912275
0.22	-0.28	2.3	-2.45	0.206155281280883
0.22	-0.33	1.5	-3.86	2.2362692145625
0.22	-0.33	1.9	-3.47	0.941594392506667
0.22	-0.33	2.3	-3.12	0.182756668824971
